block,cue_direction,cue_text,probe_image_file,correct_response,block_raw,correct_response_raw,cue_direction_raw,cue_text_raw,key_resp_break.duration_raw,key_resp_break.keys_raw,key_resp_break.rt_raw,key_resp_probe.corr_raw,key_resp_probe.duration_raw,key_resp_probe.keys_raw,key_resp_probe.rt_raw,key_resp_rating.duration_raw,key_resp_rating.keys_raw,key_resp_rating.rt_raw,probe_image_file_raw,rating_vividness.response_raw,rating_vividness.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
1,forward,1 ->,stimuli/zèbre.png,1,1,2,backward,<- 4,nan,,nan,1,,2,3.865201100008562,,2,3.758410600014031,stimuli/new3.png,,,0,0,0
1,forward,1 ->,stimuli/face.png,1,3,2,backward,<- 4,nan,,nan,1,,2,2.460838200058788,,3,1.4613316000904888,stimuli/new4.png,,,1,0,1
1,backward,<- 4,stimuli/new3.png,2,1,1,forward,1 ->,nan,,nan,1,,1,2.4732766998931766,,3,1.1897078000474721,stimuli/banane.png,,,2,0,2
1,forward,1 ->,stimuli/face.png,1,2,2,backward,<- 4,nan,,nan,1,,2,2.6375631999690086,,3,0.8059809000696987,stimuli/new2.png,,,3,0,3
1,backward,<- 4,stimuli/new2.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.2875196000095457,,3,1.4860406999941915,stimuli/zèbre.png,,,4,0,4
1,forward,1 ->,stimuli/banane.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.4524393000174314,,2,1.0417923000641167,stimuli/scissor_lure.png,,,5,0,5
1,forward,1 ->,stimuli/face.png,1,1,1,forward,1 ->,nan,,nan,1,,1,2.3191321999765933,,4,1.0941262999549508,stimuli/zèbre.png,,,6,0,6
1,forward,1 ->,stimuli/ciseau.png,1,2,1,forward,1 ->,nan,,nan,1,,1,2.258479399839416,,4,0.3469291999936104,stimuli/banane.png,,,7,0,7
1,backward,<- 4,stimuli/zebra_lure.png,2,2,1,forward,1 ->,nan,,nan,1,,1,2.3149075000546873,,4,0.9420058000832796,stimuli/ciseau.png,,,8,0,8
1,backward,<- 4,stimuli/banana_lure.png,2,1,1,forward,1 ->,nan,,nan,1,,1,4.2703837000299245,,2,1.797735899919644,stimuli/zèbre.png,,,9,0,9
1,backward,<- 4,stimuli/new3.png,2,2,1,forward,1 ->,nan,,nan,1,,1,2.2874046999495476,,4,0.7271979001816362,stimuli/banane.png,,,10,0,10
1,forward,1 ->,stimuli/banane.png,1,3,2,backward,<- 4,nan,,nan,1,,2,1.6853233000729233,,2,1.1135362000204623,stimuli/scissor_lure.png,,,11,0,11
1,backward,<- 4,stimuli/banana_lure.png,2,1,2,backward,<- 4,nan,,nan,1,,2,3.2919926999602467,,3,2.698802299797535,stimuli/zebra_lure.png,,,12,0,12
1,forward,1 ->,stimuli/face.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.3040642000269145,,3,1.1167347999289632,stimuli/banana_lure.png,,,13,0,13
1,forward,1 ->,stimuli/face.png,1,1,1,forward,1 ->,nan,,nan,1,,1,2.2411846998147666,,4,0.30695090000517666,stimuli/face.png,,,14,0,14
1,forward,1 ->,stimuli/banane.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.5151213000062853,,2,1.7803488001227379,stimuli/new3.png,,,15,0,15
1,backward,<- 4,stimuli/new3.png,2,2,2,backward,<- 4,nan,,nan,1,,2,2.3610626000445336,,2,1.2064567999914289,stimuli/zebra_lure.png,,,16,0,16
1,forward,1 ->,stimuli/zèbre.png,1,2,2,backward,<- 4,nan,,nan,1,,2,2.4110246999189258,,3,1.0812355000525713,stimuli/scissor_lure.png,,,17,0,17
1,forward,1 ->,stimuli/ciseau.png,1,1,1,forward,1 ->,nan,,nan,1,,1,2.3334782999008894,,4,0.978364699985832,stimuli/face.png,,,18,0,18
1,forward,1 ->,stimuli/ciseau.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.4377673999406397,,2,0.8485416998155415,stimuli/new2.png,,,19,0,19
1,forward,1 ->,stimuli/zèbre.png,1,1,1,forward,1 ->,nan,,nan,1,,1,2.4458516999147832,,4,1.0142686001490802,stimuli/face.png,,,20,0,20
1,backward,<- 4,stimuli/face_lure.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.4373186000157148,,4,0.7628538999706507,stimuli/face.png,,,21,0,21
1,backward,<- 4,stimuli/new4.png,2,2,2,backward,<- 4,nan,,nan,1,,2,4.9738863001111895,,2,0.8901581999380141,stimuli/scissor_lure.png,,,22,0,22
1,backward,<- 4,stimuli/new4.png,2,1,1,forward,1 ->,nan,,nan,1,,1,2.2360044999513775,,1,1.0451585999689996,stimuli/banane.png,,,23,0,23
1,backward,<- 4,stimuli/new4.png,2,2,2,backward,<- 4,nan,,nan,1,,2,2.2820593998767436,,1,0.23799529997631907,stimuli/new1.png,,,24,0,24
1,forward,1 ->,stimuli/ciseau.png,1,2,2,backward,<- 4,nan,,nan,1,,2,2.294402200030163,,3,0.08955249981954694,stimuli/new3.png,,,25,0,25
1,backward,<- 4,stimuli/new2.png,2,3,2,backward,<- 4,nan,,nan,1,,2,2.236515900120139,,3,0.9133156999014318,stimuli/scissor_lure.png,,,26,0,26
1,backward,<- 4,stimuli/zebra_lure.png,2,3,2,backward,<- 4,nan,,nan,1,,2,2.2454033999238163,,3,0.24357259995304048,stimuli/new2.png,,,27,0,27
1,forward,1 ->,stimuli/zèbre.png,1,2,2,backward,<- 4,nan,,nan,1,,2,2.472485800040886,,2,0.6208103999961168,stimuli/new3.png,,,28,0,28
1,forward,1 ->,stimuli/banane.png,1,3,1,forward,1 ->,nan,,nan,1,,1,2.286834000144154,,4,0.1835539999883622,stimuli/ciseau.png,,,29,0,29
1,backward,<- 4,stimuli/new1.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.266174100106582,,2,0.25445540016517043,stimuli/banane.png,,,30,0,30
1,backward,<- 4,stimuli/scissor_lure.png,2,1,1,forward,1 ->,nan,space,1.6277107999194413,1,,1,2.2555169998668134,,3,0.2005362999625504,stimuli/zèbre.png,,,31,0,31
2,forward,1 ->,stimuli/ciseau.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.2522211000323296,,2,0.39207500009797513,stimuli/new4.png,,,32,0,32
2,backward,<- 4,stimuli/scissor_lure.png,2,3,2,backward,<- 4,nan,,nan,1,,2,2.209916800027713,,2,0.15558809996582568,stimuli/new2.png,,,33,0,33
2,backward,<- 4,stimuli/scissor_lure.png,2,1,2,backward,<- 4,nan,,nan,1,,2,2.42305069998838,,2,0.31320639979094267,stimuli/face_lure.png,,,34,0,34
2,forward,1 ->,stimuli/zèbre.png,1,1,1,forward,1 ->,nan,,nan,1,,1,2.2212539000902325,,2,0.25613339990377426,stimuli/banane.png,,,35,0,35
